呵	口可:kk
𤳓	列異:ly
𤹇	.:bh｜疒台:bt
𤹈	疒几:bj
𤻤	丶歷:dl
𤼚	疒蠆:bi
𥁟	皿列:ml｜列皿:lm
𥉆	.:ou｜上目:uo｜目又:oy
𥊈	目梨:ol
𥌛	目黎:ol
𥌤	目隶:ol
𥌮	目歷:ol
𥌿	目隸:ol
𥎓	.:ml｜矛豆:md
𥎔	.:ml
𥒢	.:ul
𥓃	.:ud｜石条:ut
𥝢	禾丿:hp
𥠲	禾栗:hl
𥣥	.:lq
𥨻	穴歷:xl
𥬭	𥫗列:vl
𥲧	𥫗梨:vl
𥲪	竹厂:vi
𥴡	𥫗豆:vd
𥶗	竹米:vm
𥷅	竹火:vh
𥷗	𥫗隸:vl
𥻑	.:mo
𥻿	.:mi｜米离:ml
𥼅	米厂:mi｜牙米:ym
𥽗	米樂:ml
𦃇	糸虒:ss
𦃊	糸栗:sl
𦅺	糸皿:sm
𦇔	糸歷:sl
𦎐	羊里:yl
𦔓	.:li｜耒离:ll
𦕸	耳里:el
𦘊	耳歷:el
𦜏	月戾:ol
𦠓	月禾:oh｜厂月:io
𦢱	月凡:of｜君凡:jf
𦪾	舟歷:vl
𦫈	舟蠡:vl
𦺙	.:cl
𧄚	艹釐:cl
𧄻	艹瀝:cl
𧅮	艹蠡:cl
𧅯	.:cl｜艹鳥:cn
𧉲	虫干:ig
𧋎	虫里:il
𧋠	虫豕:iu｜豕虫:ui
𧍀	.:gk
𧑇	.:il｜虫木:im
𧒈	.:lk｜列虫:li｜虫虫:ii
𧔝	虫歷:il
𧕮	虫離:il
𧕯	虫麗:il
𧘫	衣一:ya
𧙉	衣出:yi
𧚩	.:yl｜禾衣:hy
𧢝	見厲:jl｜厲見:lj
𧤜	角鬲:jg
𧥖	角麗:jl
𧧋	言列:yl
𧫬	未言:wy｜言厂:yi
𧮛	言離:yl
𧯏	.:gl｜谷禾:gh｜厂谷:ig
𧰡	.:vl
𧲡	豸力:vl
𧴠	豸歷:vl
𧽲	走累:zl
𨁸	足戾:zl
𨃙	足栗:zl
𨄛	足氺:zu
𨇎	足全:zq
𨇗	足歷:zl
𨊛	身歷:ul
𨍫	車栗:il
𨏬	車車:ii｜車鬲:ig
𨓦	辶里:zl
𨘸	辶歷:zl
𨛋	.:el｜里阝:le
𨛫	禾邑:hy
𨜼	.:el｜栗阝:le
𨝏	.:el｜离阝:le
𨝖	邕來:yl
𨝟	.:hy
𨞺	.:el｜厲阝:le
𨟑	.:el｜歷阝:le
𨢌	酉鬲:yg
𨤫	亠里:wl
𨪹	銑王:xw
𨬑	.:jl
𨯽	金篱:jl
𨴻	門里:ml
𨷦	門歷:ml
𨽹	.:dx
𨽻	匕隶:bl
𩁟	隹黎:vl
𩄞	.:yl
𩅩	.:yl
𩆝	雨心:yx
𩆲	.:yl
𩗅	.:fl
𩗭	風戾:fl
𩘟	風栗:fl
𩘡	.:fl
𩙖	風歷:fl
𩞨	.:ul｜食禾:uh｜厂食:iu
𩣫	馬利:ml
𩥬	.:mi｜馬离:ml
𩥴	馬犁:ml
𩧃	馬厲:ml
𩧋	馬黎:ml
𩪸	骨歷:gl
𩭇	髟里:il
𩯺	髟歷:il
𩱇	鬲鬲:gg
𩳓	鬼里:gl
𩴣	.:gl｜鬼禾:gh｜厂鬼:ig
𩶘	魚立:yl
𩷋	魚礼:yl
𩻌	魚梨:yl
𩽏	魚歷:yl
𩽵	魚蠡:yl
𪁐	鳥利:nl
𪅆	.:ni
𪅼	.:nl｜鳥禾:nh｜厂鳥:in
𪌱	麥利:ml
𪏵	黍勿:uw
𪏼	黍女:un
𪐅	.:lu｜禾黍:hu
𪒔	.:hi｜黑离:hl
𪓀	黑歷:hl
𪕴	鼠風:uf
𪖂	.:ui｜鼠离:ul
𪖍	鼠歷:ul
𪗁	鼻歷:bl
𪙺	齒厲:il
𪙽	齒歷:il
𫐆	车历:il
𫟷	金立:jl
倆	亻兩:rl
連	辶車:zi
聯	阝丨:ea
臉	月僉:oq
練	糸柬:sj
鍊	金柬:jj
鎌	金兼:jj
戀	心糸:xs｜言心:yx
錬	金東:jd
鏈	金連:jl
煉	火柬:hj
蓮	艹連:cl
鬑	髟兼:ij
聮	.:es
鐮	金廉:jl
斂	攵僉:wq
嗹	口連:kl
燫	火廉:hl
湅	氵柬:dj
簾	竹廉:vl
纞	糸戀:sl｜.:sx
磏	石兼:uj
籢	竹斂:vl｜.:vw
鰊	魚柬:yj
槤	木連:ml
溓	氵兼:dj
莶	艹一:ca｜艹佥:cq
亷	.:ij｜立{兼下}:lj
憐	忄粦:xl
槏	木兼:mj
萰	艹柬:cj
僆	亻連:rl
堜	土柬:tj
漣	氵連:dl
澰	氵僉:dq
濓	氵廉:dl
瀮	氵霖:dl
瀲	氵斂:dl｜氵攵:dw
熑	火兼:hj
㜃	女信:nx
㜕	女連:nl
㜻	女戀:nl
㝺	兼少:ju
㟀	山禾:uh
㡘	巾兼:jj
㢘	广灬:gh
㥕	心炎:xy
㦁	心連:xl
㦑	心敢:xg
㪘	人攵:rw
㪝	.:wj
㯬	林建:lj
㰈	林連:ll
㰸	.:qj｜人欠:rq
㱨	歹定:dd
㶌	氵聯:dl
㶑	.:dl
㺦	犭聯:ql
㼑	瓜柬:gj
㼓	瓜兼:gj
㾾	疒兼:bj
䁠	目兼:oj
䃛	石連:ul
䆂	禾廉:hl
䇜	竹欠:vq
䌞	.:sj
䏈	耳絲:es
䙺	見火:jh
䥥	金廉:jl
䨬	雨淋:yl
䭑	食兼:uj
劆	刂廉:dl
匲	匚品:kp
匳	匚僉:kq
噒	.:kl
奩	大區:dq
媡	女柬:nj
嫾	.:nl
嬚	女廉:nl
慩	忄連:xl
摙	扌連:fl
檶	.:mq
櫣	木蓮:ml
殮	歹僉:dq
璉	王連:wl
籨	.:vl｜竹欠:vq
縺	糸連:sl
羷	羊僉:yq
翴	羽連:yl
聨	耳廾:ec
聫	耳大:ed
臁	月廉:ol
薕	艹廉:cl
薟	艹僉:cq
蘝	艹歛:cl
蘞	艹攵:cw
螊	虫兼:ij
褳	衤連:yl
襝	衤僉:yq
覝	見火:jh
謰	言連:yl
蹥	足連:zl
鄻	耳輦:en
醶	酉僉:yq
鰱	魚連:yl
𠋖	亻柬:rj｜人丷:rb
𠒵	光柬:gj
𠔨	.:jj
𠗳	冫兼:dj
𡆕	口戀:kl
𡟤	女月:no
𢅏	巾廉:jl
𣀃	.:wl｜廉攴:lp｜攴廉:pl
𣝈	木蒹:mj
𣞰	柬桑:js
𣟺	木斂:ml
𣿊	.:lw
𤑿	.:hl｜火灬:hh
𤒦	火斂:hl
𤗛	片柬:pj
𤣆	.:ql
𤬓	兼瓜:jg｜瓜兼:gj
𤹨	疒連:bl
𤼏	.:bl｜疒欠:bq
𤾲	皇皋:hg｜皇本:hb
𥖝	石廉:ul
𥲥	𥫗盒:vh
𥽸	.:ml｜米糸:ms
𦆆	糸廉:sl
𦔖	耒連:ll
𦖾	耳兼:ej
𦣸	.:ij｜臣皿:im
𧍴	虫柬:ij
𧐖	虫連:il
𧡙	.:gj
𧡴	柬見:jj
𧸖	貝廉:bl
𧽫	.:zg｜走日:zo
𨎷	車廉:il
𨏩	車辶:iz｜亡連:wl
𨏶	.:il｜糸車:si｜車糸:is
𨬁	金丶:jd
𨽷	.:dh｜隶亥:lh｜亥隶:hl
𩄡	雨兼:yj
𩞙	食連:ul
𩟅	.:uj｜飠僉:uq
𪍦	麥連:ml
𪍴	.:ml｜麥舛:mi
𪐋	黍兼:uj
𪐍	黍連:ul
𪖳	鼻兼:bj
𪚁	齒聯:il｜聯齒:li
𪛒	籥殳:yu
兩	一入:ar
両	一山:au
樑	木梁:ml
涼	氵京:dj
糧	米量:ml
倞	亻京:rj
魎	鬼兩:gl｜鬼入:gr
諒	言京:yj
裲	衤兩:yl
唡	口两:kl
喨	口亮:kl
輌	.:il
湸	氵亮:dl
鍄	金京:jj
㒳	冂入:kr
㔝	力兩:ll
㹁	牛京:nj
䓣	艹兩:cl
䝶	貝京:bj
䠃	足兩:zl
䣼	酉京:yj
䩫	革兩:gl
䭪	饣量:ul
啢	口兩:kl
掚	扌兩:fl
緉	糸兩:sl
脼	月兩:ol
蜽	虫兩:il
輛	車兩:il
輬	車京:ij
鿄	.:md
鿌	氵小:dx
𠓜	入入:rr
𠯱	口入:kr
𡑆	土量:tl
𡮎	亢京:kj
𣄴	{无}京:wj
𣓈	木兩:ml
𤙝	牛邑:ny
𥈘	.:oj｜目小:ox
𥛫	示梁:ul
𨄈	足梁:zl
𨎛	車梁:il
𨵶	.:my｜門勿:mw
𩗾	風兩:fl
𩘁	風京:fj｜京風:jf
缪	纟翏:sl｜纟彡:sp
尞	大小:dx
繆	糸翏:sl｜糸彡:sp
遼	辶尞:zl｜辶小:zx
尦	八勺:bu
療	疒尞:bl｜疒小:bx
飂	風翏:fl｜風彡:fp
憀	心翏:xl｜心彡:xp
敹	.:wb｜攵米:wm
暸	日尞:ol｜日小:ox
釕	金了:jl
鐐	金尞:jl｜金小:jx
炓	火斗:hd
繚	糸尞:sl｜糸小:sx
蟟	虫尞:il｜虫小:ix
鷯	鳥尞:nl｜鳥小:nx
嵺	.:ul｜山彡:up
爎	火寮:hl
爒	.:hl｜火小:hx｜.:ol｜.:ox｜.:yl｜.:yx
竂	穴小:xx｜.:xl｜.:bx｜.:bl
㙩	.:tl
㝋	宀了:bl
㡻	.:gm
㵳	氵寥:dl
㶫	大火:dh｜火丷:hb
㺒	.:ql
䄦	禾了:hl
䉼	米斤:mj
䍡	罒鹿:sl
䎆	羽令:yl
䑠	舟了:vl
䒿	艹月:co
䜍	.:yl
䜮	谷牢:gl
䝀	豆留:dl
䢧	.:zl
䨅	.:vl
䩍	.:ml
屪	尸寮:ul
嶚	.:ul｜山小:ux
嶛	.:ul｜山小:ux
廫	广膠:gj｜.:gl｜.:gp
曢	日寮:ol
璙	.:wl｜王小:wx
窷	穴聊:xl｜.:bl
膋	火月:ho｜月冖:ob
膫	月尞:ol｜月小:ox
藔	艹寮:cl｜艹小:cx
豂	谷翏:gl｜谷彡:gp
賿	貝翏:bl｜貝彡:bp
蹘	.:zl｜足彡:zp
鄝	.:el｜耳彡:ep
镽	.:il｜镸小:ix
飉	風尞:fl｜風小:fx
𠐋	亻膠:rj
𠖂	冖幺:by
𠨥	卩丿:ep｜丿聊:pl
𠺕	口留:kl
𡻪	.:ul
𢄷	.:jl
𢊻	.:gx｜庾小:yx
𢨺	户卯:hm
𢸘	扌寮:fl
𢻢	.:lv｜大支:dv｜支小:vx
𢼙	兄攵:xw
𢿞	.:wl
𣁰	斗斤:dj
𣎸	木了:ml
𣟆	木遼:ml
𣩢	.:dl｜歹小:dx
𤊽	.:hu
𤑗	炙巢:vi
𤵠	疒卯:bm
𥗀	石蓼:ul
𥛰	.:ul｜示小:ux
𥲊	𥫗聊:vl
𦌒	.:sl｜罒小:sx
𦕵	耳牢:el
𦗖	.:el
𦪕	.:vl｜舟小:vx
𦺹	艹聊:cl
𧂏	艹遼:cl
𧘈	衤了:yl
𧝜	.:yl｜衤小:yx
𧡜	見明:jm｜明見:mj
𧽽	.:zl｜走小:zx
𨖚	辶小:zx
𨣀	.:yl｜酉小:yx
𩕐	.:yl｜大頁:dy｜頁小:yx
𩖝	風丿:fp
𩯊	.:il｜髟小:ix
𩴤	.:gl｜鬼小:gx
𪌀	麥了:ml
𪌵	麥求:mq
𪖷	.:bl
獵	犭巤:ql
鴷	鳥列:nl
劦	力力:ll
儠	亻巤:rl
挒	扌列:fl
鱲	.:yl
浖	氵寸:dc｜.:dl
猟	.:qu｜.:qy
烮	火列:hl
栵	木列:ml
茢	艹列:cl
煭	灬刂:hd｜.:hl｜.:dd｜.:dl｜.:il
燤	火萬:hw
㤠	心列:xl
㧜	扌匝:fz
㬯	日羸:ol
㭞	木劣:ml
㯿	.:ml
㲱	.:ml
㸹	.:nl
㼲	.:wr
㽟	.:tl
䁽	.:ol
䅀	禾列:hl
䉭	.:vl
䓟	艹周:cv
䜲	.:gl
䟩	足去:zq
䟹	足寸:zc
劽	力列:ll
哷	口寸:kc｜.:kl
埓	土寸:tc｜.:tl
姴	女列:nl
巤	.:iu
忚	忄也:xy
挘	扌劣:fl
毟	毛少:mu
犣	牛巤:nl
聗	耳夾:ej
蛚	虫列:il
迾	辶列:zl
颲	風列:fl
鬛	.:iu
鮤	魚列:yl
𠠗	.:dl
𠷈	口律:kl
𡁓	.:kl｜口瓦:kw
𡂏	.:kl
𡂩	.:kl｜口耳:ke
𡊻	土列:tl
𡏵	土瓦:tw｜而土:et
𡓍	.:tl
𡭣	小少:xu
𡿩	.:im
𢣓	.:xl｜而心:ex｜心瓦:xw
𣁷	.:dl｜爫斗:vd｜斗寸:dc
𣁻	斗寸:dc
𣋲	.:ol
𣝚	.:ml｜而木:em｜木瓦:mw
𤁯	.:dl
𤐱	.:hl｜火瓦:hw｜而火:eh
𤓿	爫又:vy
𤖺	片列:pl
𤜓	牛二:ne
𤞊	犭列:ql
𤡕	犭鳥:qn
𤱃	田木:tm
𤱛	田禾:th
𥪂	立夾:lj
𥲁	𥫗瓦:vw
𥶢	竹氺:vu
𥷨	𥫗聶:vn
𥸸	米大:md
𦓤	丿未:pw
𦖩	.:er｜而耳:ee｜耳大:ed
𦾳	.:cl｜艹瓦:cw
𧀨	.:cl
𧓐	.:il｜而虫:ei｜虫瓦:iw
𧞕	.:yl｜衣瓦:yw｜而衣:ey
𧭌	.:yl
𧭞	.:yl
𧰠	.:vl
𨆍	足葛:zg
𨕜	.:mj
𨤤	里也:ly
𩆣	.:yl｜雨瓦:yw
𩙑	.:fl
𩢾	馬列:ml｜列馬:lm
𩭌	髟夾:ij
燐	火粦:hl
臨	臣口:ik｜臣品:ip
隣	.:el
鄰	阝粦:el
麐	鹿口:lk｜鹿吝:ll
凜	冫稟:db｜冫禾:dh
菻	艹林:cl
蹸	.:zl
粦	.:mf｜米舛:mi
賃	貝任:br
鏻	.:jl
廩	广稟:gb｜广禾:gh
痳	疒林:bl
恡	心厷:xh｜心厶:xs
轥	車藺:il｜.:iv
驎	馬粦:ml
鱗	魚粦:yl
晽	日林:ol
冧	冖林:bl
厸	厶厶:ss
懍	忄稟:xb｜忄禾:xh
橉	.:ml
躪	足藺:zl｜足隹:zv
悋	忄吝:xl
斴	.:jl
澟	氵稟:db｜.:dh
瀶	氵臨:dl
焛	火門:hm｜門火:mh
㐭	亠回:wh
㔂	.:dl
㖁	口厶:ks
㝝	宀林:bl
㨆	扌林:fl
㷠	炎舛:yi
䉮	𥫗隹:vv
䕲	艹廪:cl
䗲	.:il
䚬	.:jl
䢯	.:zl
䫐	頁林:yl
䫰	.:yl
䮼	.:ml
亃	乚粦:gl
僯	亻粦:rl
壣	土聯:tl
崊	山林:ul
撛	.:fl
暽	日粦:ol
檁	木稟:mb｜木禾:mh
獜	.:ql
甐	.:wl
疄	田粦:tl
癛	疒稟:bb｜.:bh
癝	疒禀:bb｜.:bu
碄	石林:ul
繗	.:sl
藺	艹隹:cv
躙	.:zl｜足隹:zv
轔	車粦:il
閵	門隹:mv
阾	阝令:el
𠐼	亻臨:rl
𠓮	.:rm
𡃦	.:kl｜口隹:kv
𡬜	宀寒:bh｜寒寒:hh
𡰚	.:ly｜米尤:my｜尤舛:yi
𡳞	.:ul｜尸舛:ui
𡶱	山厶:us
𡹇	山林:ul
𡻫	山品:up
𡿠	山鱗:ul
𣇰	日林:ol
𤂶	.:dl｜氵隹:dv
𤌎	.:hv｜火門:hm｜.:yh
𤎭	.:yl｜火回:hh｜炎回:yh
𤗷	.:pl
𥓆	石石:uu
𥳞	𥫗舛:vi
𥶒	𥫗舛:vi
𥷖	𥫗瓦:vw
𥻋	.:lb｜米八:mb
𥼭	.:ml
𦺸	.:cl｜艹舛:ci
𧃮	.:cl
𧖔	虫虫:ii｜.:yi
𧲂	.:ul｜豕舛:ui
𧵧	貝厶:bs
𧶆	貝吝:bl
𧹩	赤東:id
𨏨	車並:ib
𨸻	阝厶:es
𩞻	.:ul｜飠舛:ui
𩣖	馬吝:ml
𩱬	.:gj
𩴠	.:gl｜鬼舛:gi
𩻜	.:yy｜魚犬:yq｜來魚:ly
霊	雨业:yy
淩	氵夌:dl
綾	糸夌:sl
靈	巫霝:wl｜雨巫:yw
軨	車令:il
嶺	山領:ul
領	頁令:yl
齢	.:il
崚	山夌:ul
鈴	金令:jl
夌	土夂:tw｜夊八:wb
皊	白令:bl
醽	酉口:yk｜酉霝:yl
岺	山令:ul
龗	雨龍:yl
蕶	艹零:cl
霝	雨口:yk
砱	石令:ul
櫺	木口:mk｜木霝:ml
欞	木靈:ml｜.:mw
炩	火令:hl
爧	火靈:hl｜火巫:hw
掕	.:fl
竛	立令:ll
輘	.:il
齡	齒令:il
燯	火零:hl
琌	王岑:wc｜.:wj
錂	金夌:jl
㖫	.:kl
㡵	.:gl
㦭	心靈:xl
㪮	.:wl
㬡	日零:ol
㯪	木零:ml
㱥	.:dl
㲆	.:kl
㸳	牛令:nl
㻏	王灵:wl
㾉	疒令:bl
䄥	示靈:ul
䈊	竹夂:vw
䉁	竹聆:vl
䉖	𥫗令:vl
䉹	𥫗靈:vl
䌢	糸零:sl
䍅	缶令:fl
䔖	艹陵:cl
䕘	艹領:cl
䖅	艹靈:cl
䙥	衤零:yl
䚖	見靈:jl
䠲	身令:ul
䡼	.:il
䡿	車靈:il
䧙	阝心:ex
䨩	雨神:yu
䯍	骨令:gl
䰱	鬼靈:gl
䴇	鳥零:nl
䴒	鳥靈:nl
䴫	鹿零:ll
刢	刂令:dl
婈	.:nl
孁	雨女:yn
彾	彳令:xl
朎	月令:ol
狑	犭令:ql
秢	禾令:hl
笭	𥫗令:vl
紷	糸令:sl
羐	.:aj｜.:sd
蓤	艹凌:cl
蔆	艹淩:cl
蘦	艹口:ck｜艹霝:cl
衑	彳亍:xi｜行令:xl
袊	衤令:yl
裬	衤夌:yl
詅	言令:yl
跉	足令:zl
閝	門令:ml
霗	雨泠:yl
霛	雨弓:yg
駖	馬令:ml
魿	魚令:yl
鯪	魚夌:yl
鴒	鳥令:nl
鹷	.:ll
麢	鹿口:lk｜.:ll
𠄖	令丁:ld
𠏡	亻零:rl｜人丨:ra
𠟨	.:dl
𠠢	.:dl｜雨刀:yd｜刀口:dk
𠡭	.:ll
𠱠	口口:kk
𠻠	口聆:kl
𠻱	口陵:kl
𠾥	哥令:gl
𡈍	囗从:kc
𡕮	.:ql｜夂儿:we｜去夂:qw
𡿡	山靈:ul
𢌔	广靈:gl
𢔁	.:xl｜彳夂:xw
𢩗	户户:hh｜尸户:uh
𢹝	.:fl｜扌口:fk
𢺰	扌靈:fl
𣌟	日靈:ol
𣣋	.:ql
𣬹	毛令:ml｜令毛:lm
𤃩	.:dl｜氵口:dk
𤖦	爿靈:pl
𤜙	牛靈:nl
𤣘	冥猪:mv
𤧘	王香:wx
𤨻	土王:tw｜王口:wk
𤫲	瓜令:gl｜令瓜:lg
𤷖	.:bl｜疒夂:bw
𤿅	白靈:bl
𥌼	.:ol｜目口:ok
𥤜	.:hl｜禾口:hk
𥤞	禾靈:hl
𥥋	穴令:xl
𥩔	穴靈:xl
𥵝	竹領:vl
𥺙	.:ml｜米夂:mw
𥾂	米靈:ml
𦉢	.:fl｜缶口:fk
𦊓	罒令:sl
𦐽	.:yy
𦫃	.:vl｜舟口:vk
𦫊	舟靈:vl
𧆺	令虎:lh
𧕅	.:il
𧖜	虫靈:il
𧟙	衤靈:yl
𧨈	言巫:yw｜巫言:wy
𧰻	豕令:ul
𧱢	豕令:ul
𧲙	.:ul｜豕口:uk
𧾇	走丶:zd
𧾮	.:zl｜走口:zk
𨞎	口阝:ke
𨠎	酉令:yl
𨽲	阝靈:el
𩂙	雨夕:yx
𩃞	.:ym
𩄊	雨計:yj
𩆒	雨㐅:yi
𩆚	.:lc｜雨艹:yc
𩆮	雨器:yq
𩆻	.:lj
𩆼	.:ll｜雨泠:yl
𩇄	.:ly
𩇎	雨土:yt
𩊂	革令:gl
𩑊	音靈:yl
𩖊	.:yl｜雨頁:yy｜頁口:yk
𩖵	風令:fl
𩚹	食令:ul
𩜁	.:ul
𩟃	飠零:ul
𩪥	骨零:gl
𩬔	髟令:il
𩲩	鬼令:gl
𩵀	.:gl
𪅋	鳥陵:nl｜陵鳥:ln
𪋳	.:ll
𪋾	麥力:ml
𪌏	.:mw｜麥攴:mp
𪕌	鼠令:ul
𪛈	雨龜:yg
瑠	王留:wl
鏐	釒翏:jl｜釒彡:jp
斿	方子:fz
劉	刂金:dj
翏	羽彡:yp
懰	心劉:xl
蹓	足留:zl
霤	雨留:yl
漻	氵翏:dl｜氵彡:dp
蟉	虫翏:il｜虫彡:ip
鎦	金留:jl
鶹	鳥留:nl
畱	一田:at｜.:tk
蓅	艹流:cl
鋶	金川:ji
栁	木卩:me
畄	丶田:dt
藰	艹劉:cl
駵	.:mk
塯	土留:tl
澑	.:dl
瀏	氵劉:dl
熮	.:hl｜火彡:hp
鐂	.:jl
鷚	鳥翏:nl｜鳥彡:np
㐬	亠川:wi
㙀	土究:tj
㨨	扌留:fl
㶯	火卯:hm
㽌	瓦留:wl
㽞	.:tl
䄂	示由:uy
䉧	𥫗劉:vl
䋷	糸攵:sw
䗜	虫留:il
䚧	.:jl
䬟	風劉:fl
䭷	馬毛:mm
䰘	.:dl
䱖	.:yy
䱞	魚奈:yn
䶉	鼠留:ul｜.:ut
嚠	口劉:kl
媹	女留:nl
嬼	女劉:nl
嵧	山留:ul
廇	广留:gl
旈	.:fi
桞	木阝:me｜.:mx
桺	.:mk
橊	.:ml
橮	木貿:mm
璢	.:wl
癅	.:bl
磂	石留:ul
磟	.:ul｜石彡:up
綹	糸咎:sj｜糸口:sk
羀	.:sl
蒥	艹留:cl
裗	衤川:yi
雡	.:vl｜隹彡:vp
飀	風留:fl
飅	.:fl
餾	食留:ul
駠	馬卯:mm
騮	馬留:ml
驑	.:ml
鬸	鬲留:gl
鰡	魚留:yl
麍	鹿川:li
𠗽	.:dl
𠛓	.:dm｜刀刂:dd
𠪐	厂留:il
𢏭	.:gl｜弓儿:ge
𢔲	.:xl
𢞭	心留:xl｜.:xm｜留心:lx
𢣠	心留:xl｜月心:ox
𢤐	心劉:xl｜劉心:lx
𢷶	扌劉:fl
𣞗	木劉:ml
𣟑	橙寸:ic
𣠚	木留:ml
𣱳	水一:ua
𤥗	.:wy
𤮷	瓦田:wt｜雨瓦:yw
𥀓	皮留:pl｜留皮:lp
𥆦	目尪:ow
𥌐	.:ol｜目心:ox
𥛅	示留:ul
𥠷	禾留:hl
𥥹	.:xy
𥧕	穴流:xl
𥨌	.:xl
𥰣	竹留:vl
𥶅	竹田:vt
𥹷	.:ml｜米儿:me
𦀠	.:sl
𦃓	糸留:sl
𦉉	缶留:fl
𦊿	.:sy
𦌁	罒婁:sl
𦑾	羽日:yo
𧏓	虫田:it
𧮗	.:tx｜言心:yx
𨋖	車卯:im
𨍸	車留:il
𨢇	酉留:yl
𨦰	.:jy
𨪕	金芻:ji
𩆎	雨溜:yl
𩖴	風卯:fm
𩗩	風金:fj｜金風:jf
𩙄	風登:fd
𩢞	.:mq
𪃂	鳥流:nl｜流鳥:ln
𪆱	卯鳥:mn｜鳥金:nj
𪇯	鳥戮:nl｜戮鳥:ln
𪎣	.:ml｜麻儿:me
竜	立电:ld｜立乚:lg
龍	丶乚:dg｜立乚:lg
垅	土龙:tl
滝	氵电:dd｜.:dg｜.:dl
鑨	金龍:jl
瀧	氵龍:dl
尨	一丿:ap｜龙丿:lp
朧	月龍:ol
霳	雨隆:yl
攏	扌龍:fl
籠	𥫗龍:vl
蠪	虫龍:il
瓏	王龍:wl
爖	火龍:hl
櫳	木龍:ml
壠	土龍:tl
巃	山龍:ul
曨	日龍:ol
矓	目龍:ol
篭	𥫗电:vd｜.:vg｜.:vl
聾	耳龍:el
贚	貝龍:bl
躘	足龍:zl
隴	耳龍:el
湰	氵生:du
豅	谷龍:gl
鏧	.:jq｜金殳:ju
㑝	亻弄:rn
㙙	土尨:tm
㚅	夂生:wu
㛞	女弄:nn
㝫	宀隆:bl
㟖	山弄:un
㡣	.:da
㢅	.:gn
㦕	心隆:xl
㰍	木龍:ml
㴳	氵尨:dm
䃧	石隆:ul
䆍	禾龍:hl
䏊	耳龍:el
䙪	樊衣:fy｜衣樊:yf
䡁	身龍:ul
䥢	金鼓:jg
䪊	革龍:gl
儱	亻龍:rl
嚨	口龍:kl
壟	土龍:tl
嶐	山隆:ul
巄	山龍:ul
徿	彳龍:xl
梇	木弄:mn
槞	木电:md｜.:mg｜.:ml
硦	石弄:un
礱	石龍:ul
礲	石龍:ul
竉	穴龍:xl｜.:bl
蘢	艹龍:cl
蠬	虫龍:il
襱	衤龍:yl
靇	雨龍:yl
驡	馬龍:ml
鸗	鳥龍:nl
龒	龍示:lu
龓	龍有:ly｜有龍:yl
𠮽	口廾:kc
𠱚	口下:kx
𠾐	口隆:kl
𡃡	口龍:kl｜龍口:lk
𡬍	宀米:bm
𡱯	尸弄:un
𢙱	心弄:xn
𢤱	心龍:xl
𢤲	心龍:xl｜龍心:lx
𢸭	手龍:ul｜龍手:lu
𣫣	.:kc｜声虫:ui
𤵸	.:bj
𤼃	疒龍:bl
𤾭	皇書:hu
𥦌	穴弄:xn
𥪢	童八:tb
𥪻	.:le｜耳立:el
𥬆	𥫗井:vj
𥳌	竹隆:vl
𥸉	𥫗木:vm
𦪽	舟龍:vl
𧍰	.:il｜虫生:iu
𧙥	衤同:yt
𧚂	衤弄:yn
𨇘	足龍:zl｜龍足:lz
𨏠	車龍:il
𨛓	.:en｜弄阝:ne
𨺚	阝缶:ef
𩂽	雨弄:yn
𩄺	雨哢:yl
𩙘	風龍:fl
𩙠	風龜:fg
𩟭	飠龍:ul
𪐖	黍龍:ul
𪔕	鼓缶:gf
𪔳	鼓隆:gl｜隆鼓:lg
𪔷	鼓龍:gl
𪚑	龍巾:lj
𪚓	龍犭:lq｜犭龍:ql
𪚘	龍丹:ld｜丹龍:dl
𪚝	龍圭:lg｜圭龍:gl
𪚠	龍巫:lw
樓	木婁:ml
塿	土婁:tl
嘍	口婁:kl
屚	尸雨:uy
摟	扌婁:fl
鏤	金婁:jl
漊	氵婁:dl
熡	火婁:hl
婁	女一:na｜女口:nk
廔	广婁:gl
瞜	目婁:ol
髏	骨婁:gl
僂	亻婁:rl
瘺	.:bl｜疒雨:by
瘻	疒婁:bl
艛	舟婁:vl
軁	身婁:ul
鞻	革婁:gl
㔷	匚丙:kb
㟺	山婁:ul
㥪	心娄:xl
㪹	斗婁:dl
㲎	毛毛:mm
㺏	犭婁:ql
䄛	示婁:ul
䅹	禾婁:hl
䝏	豕婁:ul
䣚	耳婁:el
䫫	頁婁:yl
䮫	馬婁:ml
䱾	魚婁:yl
嶁	山婁:ul
慺	忄婁:xl
甊	瓦婁:wl
簍	竹婁:vl
耬	耒婁:ll
蔞	艹婁:cl
螻	虫婁:il
謱	言婁:yl
遱	辶婁:zl
鷜	鳥婁:nl
𠖛	冖聊:bl
𠗩	冫丶:dd
𠞭	.:dl
𠳴	口女:kn
𡀔	口路:kl
𡇭	.:kn
𡗆	婁多:ld
𡡎	女婁:nl
𡪅	.:bz
𡰌	.:wl｜尤婁:yl
𢈢	广串:gi
𣤋	欠婁:ql｜婁欠:lq
𣫻	毌女:gn
𤬏	瓜婁:gl｜婁瓜:lg
𥕍	石婁:ul
𦎹	羊婁:yl
𦭯	.:cl｜艹丙:cb
𦸢	.:cl｜艹雨:cy
𧁾	.:cl｜艹瓜:cg
𧢃	見婁:jl
𧫞	.:yl｜言雨:yy
𧯨	豆多:dd
𧰃	豆婁:dl
