0	0 0⃣️
大喇叭	大喇叭 📣
大声公	大声公 📣
大头钉	大头钉 📍
大寫字母	大寫字母 🔠
大巴車	大巴車 🚍
大巴车	大巴车 🚍
大桥	大桥 🌉
大橋	大橋 🌉
大笑	大笑 😆 😂
大聲公	大聲公 📣
大象	大象 🐘
大頭釘	大頭釘 📍
天使	天使 😇 👼
天使宝宝	天使宝宝 👼
天使寶寶	天使寶寶 👼
天妇罗	天妇罗 🍤
天婦羅	天婦羅 🍤
天文	天文 🔭 🌌 🌠 🌟 🌝 🌜 🌛 🌚 🌘 🌗 🌖 🌕 🌔 🌓 🌒 🌑 ✨ 🌙 🌞
天文觀察	天文觀察 🔭
天文观察	天文观察 🔭
天气	天气 ❄️ 🌂 🌁 🌀 ⛄️ ☀️ ⛅️ ☔️ ☁️
天氣	天氣 ❄️ 🌂 🌁 🌀 ⛄️ ☀️ ⛅️ ☔️ ☁️
天狗	天狗 👺
天秤座	天秤座 ♎️ ♎️
天蝎座	天蝎座 ♏️ ♏️
天蠍座	天蠍座 ♏️
太极旗	太极旗 🇰🇷
太极虎	太极虎 🇰🇷
太極旗	太極旗 🇰🇷
太極虎	太極虎 🇰🇷
太阳	太阳 ☀️ 🌞
太陽	太陽 ☀️ 🌞
夫妇	夫妇 💑
夫婦	夫婦 💑
失恋	失恋 💔
失戀	失戀 💔
失望	失望 😥 😞
头像	头像 🎭 👤 🙎 🙍 🙋 🙊 🙉 🙈 🙇 💇 💆 🙆 🙅 💃 💂 💁 💀 👿 👾 👽 👼 👻 👺 👹 👸 👷 👶 👵 👴 👳 👲 👱 👰 👯 👮 👥 👩 👨 👧 👦
头巾	头巾 👳
头晕目眩	头晕目眩 💫
头骨	头骨 💀
夺冠	夺冠 🏆
奈及利亞	奈及利亞 🇳🇬
奖杯	奖杯 🏆 🏆
奥地利	奥地利 🇦🇹
奧地利	奧地利 🇦🇹
奪冠	奪冠 🏆
女人	女人 👩
女儿	女儿 👧
女兒	女兒 👧
女厕	女厕 🚺
女士	女士 🚺
女士帽	女士帽 👒
女士服装	女士服装 👚
女士服裝	女士服裝 👚
女孩	女孩 👧
女廁	女廁 🚺
女性	女性 🚺
女装	女装 👚
女裝	女裝 👚
女鞋	女鞋 👠
奶牛	奶牛 🐄
奶瓶	奶瓶 🍼
好	好 🆗 👌
好运	好运 🍀
好運	好運 🍀
妖怪	妖怪 👻 👺
始业式	始业式 🎒
始業式	始業式 🎒
姐妹	姐妹 👭
姐妹情深	姐妹情深 👩‍❤️‍👩
姓名牌	姓名牌 📛
委内瑞拉	委内瑞拉 🇻🇪
娛樂	娛樂 🎤 🎢
娱乐	娱乐 🎤 🎢
婚礼	婚礼 🎎 💒
婚禮	婚禮 🎎 💒
婴儿	婴儿 🚼 👶
媒体	媒体 📻 📺
媒體	媒體 📻 📺
嬰兒	嬰兒 🚼 👶
子午線	子午線 🌐
子午线	子午线 🌐
子弹列车	子弹列车 🚅
子弹头	子弹头 🚄
子彈列車	子彈列車 🚅
子彈頭	子彈頭 🚄
孔雀之国	孔雀之国 🇮🇳
孔雀之國	孔雀之國 🇮🇳
存包	存包 🛅
孟加拉	孟加拉 🇧🇩
学校	学校 🏫
孵化	孵化 🐣
孵小雞	孵小雞 🐣
孵小鸡	孵小鸡 🐣
學校	學校 🏫
安全	安全 🔐
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安地卡及巴布達	安地卡及巴布達 🇦🇬
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安道尔	安道尔 🇦🇩
安道尔共和国	安道尔共和国 🇦🇩
安道爾	安道爾 🇦🇩
安道爾共和國	安道爾共和國 🇦🇩
完成	完成 ✅
宏都拉斯	宏都拉斯 🇭🇳
宝宝	宝宝 🚼 👶
宝石	宝石 💎
客人帐户	客人帐户 👤
客人帳戶	客人帳戶 👤
害怕	害怕 😱 😨
害羞	害羞 😊 😳
害臊	害臊 😳
家	家 🏡 🏠
家人	家人 👭 👬 👫 👪
家庭	家庭 👪
家有儿女	家有儿女 👨‍👩‍👧‍👦
家有兒女	家有兒女 👨‍👩‍👧‍👦
宾馆	宾馆 🏩 🏨
寄信	寄信 📫
寄存	寄存 🛅
寫作	寫作 ✏️
寫信	寫信 ✉️
寮國	寮國 🇱🇦
寶寶	寶寶 🚼 👶
寶石	寶石 💎
对抗	对抗 🆚
对比	对比 🆚
寺庙之国	寺庙之国 🇳🇵
寺廟之國	寺廟之國 🇳🇵
寿司	寿司 🍣
封装	封装 📦
封裝	封裝 📦
射手座	射手座 ♐️
對抗	對抗 🆚
對比	對比 🆚
小丑	小丑 🃏
小写字母	小写字母 🔡
小刀	小刀 🔪
小包包	小包包 👝
小寫字母	小寫字母 🔡
小巴	小巴 🚐
小巴士	小巴士 🚐
小恶魔	小恶魔 👿
小惡魔	小惡魔 👿
小提琴	小提琴 🎻
小滴	小滴 💧
小狗	小狗 🐶
小猪	小猪 🐷
小王	小王 🃏
小白鼠	小白鼠 🐁
小精灵	小精灵 👾
小精靈	小精靈 👾
小船	小船 🚣
小豬	小豬 🐷
小轎車	小轎車 🚘 🚗
小轿车	小轿车 🚘 🚗
小雞	小雞 🐣 🐥 🐤
小雞寶寶	小雞寶寶 🐤
小鳥	小鳥 🐦
小鸟	小鸟 🐦
小鸡	小鸡 🐣 🐥 🐤
小鸡宝宝	小鸡宝宝 🐤
少儿不宜	少儿不宜 🔞
少兒不宜	少兒不宜 🔞
尚比亞	尚比亞 🇿🇲
尝	尝 👅
尴尬	尴尬 😅
尷尬	尷尬 😅
尼加拉瓜	尼加拉瓜 🇳🇮
尼日利亚	尼日利亚 🇳🇬
尼日尔	尼日尔 🇳🇪
尼泊尔	尼泊尔 🇳🇵
尼泊爾	尼泊爾 🇳🇵
居酒屋	居酒屋 🏮
居酒屋灯笼	居酒屋灯笼 🏮
居酒屋燈籠	居酒屋燈籠 🏮
屋企	屋企 🏡 🏠
屎	屎 💩
山地車	山地車 🚴
山地车	山地车 🚴
山姆大叔	山姆大叔 🇺🇸
山羊	山羊 🐐
山間日出	山間日出 🌄
山间日出	山间日出 🌄
山頂纜車	山頂纜車 🚠
山顶缆车	山顶缆车 🚠
峨眉月	峨眉月 🌙
工业区	工业区 🏭
工人	工人 👷
工具	工具 🔘 🔗 🔖 🔔 🔓 🔒 🔑 🔐 🔏 🔎 🔍 🔋 🔫 🔨 🔌 ✂️ 🔭 🔬 🔪 🔩 🔦 🔧
工厂	工厂 🏭
工廠	工廠 🏭
工業區	工業區 🏭
左	左 ⬅️
左上	左上 ↖️
左上箭头	左上箭头 ↖️
左上箭頭	左上箭頭 ↖️
左下	左下 ↙️
左下箭头	左下箭头 ↙️
左下箭頭	左下箭頭 ↙️
左右	左右 ↔️
左右箭头	左右箭头 ↔️
左右箭頭	左右箭頭 ↔️
左回转	左回转 ↩️
左輪槍	左輪槍 🔫
左轉	左轉 ⬅️
左转	左转 ⬅️
左轮枪	左轮枪 🔫
左边	左边 👈
左迴轉	左迴轉 ↩️
左邊	左邊 👈
巧克力	巧克力 🍫
巨蟹座	巨蟹座 ♋️
已满	已满 🈵
已滿	已滿 🈵
巴勒斯坦	巴勒斯坦 🇵🇸
巴哈馬	巴哈馬 🇧🇸
巴哈马	巴哈马 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴士	巴士 🚎 🚐 🚍 🚌
巴巴多斯	巴巴多斯 🇧🇧
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亞紐幾內亞	巴布亞紐幾內亞 🇵🇬
巴拉圭	巴拉圭 🇵🇾
巴拿馬	巴拿馬 🇵🇦
巴拿马	巴拿马 🇵🇦
巴林	巴林 🇧🇭
巴西	巴西 🇧🇷
巴貝多	巴貝多 🇧🇧
布丁	布丁 🍮
布吉納法索	布吉納法索 🇧🇫
布基纳法索	布基纳法索 🇧🇫
布隆迪	布隆迪 🇧🇮
帆船	帆船 ⛵️
希腊	希腊 🇬🇷
希臘	希臘 🇬🇷
帐本	帐本 📒
帐篷	帐篷 ⛺️
帐蓬	帐蓬 ⛺️
帕劳	帕劳 🇵🇼
帛琉	帛琉 🇵🇼
帳本	帳本 📒
帳篷	帳篷 ⛺️
帳蓬	帳蓬 ⛺️
常綠喬木	常綠喬木 🌲
常绿乔木	常绿乔木 🌲
常青树	常青树 🌲
常青樹	常青樹 🌲
帽子	帽子 👒 🎩
干杯	干杯 🍻
平底鍋	平底鍋 🍳
平底锅	平底锅 🍳
幸运草	幸运草 🍀
幸運草	幸運草 🍀
幼苗	幼苗 🌱
幽灵	幽灵 👻
幽靈	幽靈 👻
幾內亞比索	幾內亞比索 🇬🇼
幾内亞	幾内亞 🇬🇳
广播	广播 📻 📢
庆典	庆典 🎉 🎈
庆祝	庆祝 ㊗️ ❇️ 🎑 🎏 🎎 🏮 🎓 🎐 🎋 🎊 🎉 🎈 🎇 🎆 🎅 🎄 🎃 🎀 🎂 🎁
库克群岛	库克群岛 🇨🇰
库拉索	库拉索 🇨🇼
座位	座位 💺
座机	座机 ☎️
座椅	座椅 💺
座機	座機 ☎️
庫克群島	庫克群島 🇨🇰
庫拉索	庫拉索 🇨🇼
庭院	庭院 🏡
廁所	廁所 🚾 🚽
廣播	廣播 📻 📢
建筑	建筑 🏡 🏤 ⛪️ 🏰 🏯 🏭 🏬 🏫 🏪 🏩 🏨 🏧 🏦 🏥 🏣 🏢 🏠
建筑工人	建筑工人 👷
建築	建築 🏡 🏤 ⛪️ 🏰 🏯 🏭 🏬 🏫 🏪 🏩 🏨 🏧 🏦 🏥 🏣 🏢 🏠
建築工人	建築工人 👷
开启	开启 🔛
开启资料夹	开启资料夹 📂
开心	开心 ☺️ 😺 😃 😆 😄
开怀大笑	开怀大笑 😃
开曼群岛	开曼群岛 🇰🇾
开玩笑	开玩笑 😝
开花	开花 🌼
开锁	开锁 🔓
张嘴笑	张嘴笑 😃
张开双手	张开双手 👐
弯曲线	弯曲线 ➰
張嘴笑	張嘴笑 😃
張開雙手	張開雙手 👐
強壯	強壯 💪
弹钢琴	弹钢琴 🎹
强壮	强壮 💪
彈鋼琴	彈鋼琴 🎹
彎曲線	彎曲線 ➰
当心儿童	当心儿童 🚸
录像	录像 📹
录像带	录像带 📼
录影	录影 📹
录影带	录影带 📼
彗星	彗星 🌠
彩心	彩心 💜 💛 💚 💙
彩色碎紙	彩色碎紙 🎊
彩色碎纸	彩色碎纸 🎊
彩虹	彩虹 🌈
影院	影院 🎦
後退	後退 🔙
得意	得意 😎 😤
循环	循环 🔃 🔁 🔄 ♻️
循环播放	循环播放 🔁
循環	循環 🔃 🔁 🔄 ♻️
循環播放	循環播放 🔁
微笑	微笑 ☺️ 😸 😄 😁 😃 😊
德国	德国 🇩🇪 🇩🇪
德国国旗	德国国旗 🇩🇪
德國	德國 🇩🇪 🇩🇪
德國國旗	德國國旗 🇩🇪
心	心 💖 💕 ❤️
心动	心动 💓
心動	心動 💓
心型装饰	心型装饰 💟
心型裝飾	心型裝飾 💟
心形装饰	心形装饰 💟
心形裝飾	心形裝飾 💟
心心相印	心心相印 💞 💕
心情	心情 💯 💬 💫 💪 💩 💨 💧 💦 💥 💤 💣 💢
心碎	心碎 💔
心跳	心跳 💗
忧虑	忧虑 😔
快艇	快艇 🚤
快跑	快跑 💨
快进	快进 🔜 ⏩
快退	快退 ⏪
快速	快速 🔜
快進	快進 🔜 ⏩
快餐	快餐 🍱
怒目	怒目 😾
思考	思考 💭 😔
思考中	思考中 💭
急救車	急救車 🚑
急救车	急救车 🚑
怪兽	怪兽 👾
怪物	怪物 👹
怪獸	怪獸 👾
恋人	恋人 💑
恋爱旅馆	恋爱旅馆 🏩
恐怖	恐怖 😱
恐惧	恐惧 😱
恐懼	恐懼 😱
恭賀	恭賀 ㊗️
恭贺	恭贺 ㊗️
恳求	恳求 🙏 🙇
恶鬼	恶鬼 👹
恶魔	恶魔 😈 👿
悬浮列车	悬浮列车 🚟
悲伤	悲伤 😭 😢
悲傷	悲傷 😭 😢
悲痛	悲痛 😢
情书	情书 💌
情人酒店	情人酒店 🏩
情侣	情侣 💑 👫
情侶	情侶 💑 👫
情報	情報 🔎
情报	情报 🔎
情書	情書 💌
惊叹	惊叹 ❗️ ‼️ ❕
惊叹号	惊叹号 ❗️ ❕
惊叹号加问号	惊叹号加问号 ⁉️
惊吓	惊吓 🙀
惊讶	惊讶 ❗️ ‼️ 🙀 ❕ 😺
惊讶怀疑	惊讶怀疑 ⁉️
惊问	惊问 ⁉️
惡鬼	惡鬼 👹
惡魔	惡魔 😈 👿
想法	想法 💭 💡
想象中	想象中 💭
愁眉苦脸	愁眉苦脸 😒
愁眉苦臉	愁眉苦臉 😒
意大利	意大利 🇮🇹 🇮🇹
意大利国旗	意大利国旗 🇮🇹
意大利面	意大利面 🍝
意大利面条	意大利面条 🍝
意大利麵條	意大利麵條 🍝
意面	意面 🍝
意麵	意麵 🍝
愛	愛 😍 💓 💗 😘 ❤️
愛你	愛你 😘 😍
愛心	愛心 ❤️ 💗
愛心禮物	愛心禮物 💝
愛情	愛情 💓
愛情旅館	愛情旅館 🏩
愛沙尼亞	愛沙尼亞 🇪🇪
愛爾蘭	愛爾蘭 🇮🇪
感冒	感冒 😷
感动	感动 😹
感動	感動 😹
感謝	感謝 🙏
感谢	感谢 🙏
愤怒	愤怒 😡 💢
慎听	慎听 🙉
慎聽	慎聽 🙉
慶典	慶典 🎉 🎈
慶祝	慶祝 ㊗️ ❇️ 🎑 🎏 🎎 🏮 🎓 🎐 🎋 🎊 🎉 🎈 🎇 🎆 🎅 🎄 🎃 🎀 🎂 🎁
憂慮	憂慮 😔
憤怒	憤怒 😡 💢
懇求	懇求 🙏 🙇
懸浮列車	懸浮列車 🚟
戀人	戀人 💑
戀愛旅館	戀愛旅館 🏩
戏剧	戏剧 🎩
成人	成人 🔞
成人節目	成人節目 🔞
成人节目	成人节目 🔞
戒指	戒指 💍
戲劇	戲劇 🎩
房子	房子 🏡 🏠
房屋	房屋 🏡 🏠
所罗门群岛	所罗门群岛 🇸🇧
所羅門群島	所羅門群島 🇸🇧
扇貝	扇貝 🐚
扇贝	扇贝 🐚
手	手 👐 👋
手势	手势 🙏 🙌 ✊ 👐 👏 👌 👋 👊 👉 👈 👇 👆 ☝️ ✋ 👎 ✌️ 👍
手勢	手勢 🙏 🙌 ✊ 👐 👏 👌 👋 👊 👉 👈 👇 👆 ☝️ ✋ 👎 ✌️ 👍
手提包	手提包 👜
手机	手机 📱
手机关机	手机关机 📴
手枪	手枪 🔫
手柄	手柄 🎮
手槍	手槍 🔫
手機	手機 📱
手機關機	手機關機 📴
手电筒	手电筒 🔦
手臂	手臂 💪
手表	手表 ⌚️
手錶	手錶 ⌚️
手電筒	手電筒 🔦
扑克牌	扑克牌 🃏 🎴
打伞	打伞 ☔️
打傘	打傘 ☔️
打击	打击 👊
打勾	打勾 ✔️ ☑️
打叉	打叉 ✖️
打叉符号	打叉符号 ✴️ ❎
打叉符號	打叉符號 ✴️ ❎
打开的书本	打开的书本 📖
打折	打折 🈹
打招呼	打招呼 🙋
打擊	打擊 👊
打游戏	打游戏 🎮
打电话	打电话 ☎️ 📲
打的	打的 🚖
打瞌睡	打瞌睡 😪
打車	打車 🚖
打车	打车 🚖
打遊戲	打遊戲 🎮
打針	打針 💉
打针	打针 💉
打開的書本	打開的書本 📖
打電話	打電話 ☎️ 📲
打高尔夫	打高尔夫 ⛳️
打高爾夫	打高爾夫 ⛳️
扩音喇叭	扩音喇叭 📢
扩音器	扩音器 📢
扮酷	扮酷 😎
扮鬼脸	扮鬼脸 😜
扮鬼臉	扮鬼臉 😜
扳手	扳手 🔧
扶桑花	扶桑花 🌺
报刊	报刊 📰
报纸	报纸 📰
报警	报警 🚔
披萨	披萨 🍕
披萨片	披萨片 🍕
披薩	披薩 🍕
披薩片	披薩片 🍕
抹茶	抹茶 🍵
抽水馬桶	抽水馬桶 🚽
抽水马桶	抽水马桶 🚽
抿嘴	抿嘴 😾
担心	担心 😓
担忧	担忧 😔
拇指朝下	拇指朝下 👎
拉屎	拉屎 💩
拉炮	拉炮 🎉
拉脱維亞	拉脱維亞 🇱🇻
拉脱维亚	拉脱维亚 🇱🇻
拉面	拉面 🍜
拉麵	拉麵 🍜
拍手	拍手 👏
拍摄	拍摄 🎬
拍攝	拍攝 🎬
拍照	拍照 📷
拒絕	拒絕 ❌
拒绝	拒绝 ❌
拒馬	拒馬 🚧
拒马	拒马 🚧
拖拉机	拖拉机 🚜
拖拉機	拖拉機 🚜
拜托	拜托 🙏
拜拜	拜拜 👋
拜託	拜託 🙏
拳头	拳头 ✊ 👊
拳头手势	拳头手势 👊
拳頭	拳頭 ✊ 👊
拳頭手勢	拳頭手勢 👊
指	指 🈯️
指定	指定 🈯️
指甲油	指甲油 💅
按摩	按摩 💆
按鈕	按鈕 🔘
按钮	按钮 🔘
挎包	挎包 👜
挥手	挥手 👋
挥拳	挥拳 👊
挥汗如雨	挥汗如雨 💦
挪威	挪威 🇳🇴
振动模式	振动模式 📳
振動模式	振動模式 📳
捲毛狗	捲毛狗 🐩
捷克	捷克 🇨🇿
捷运	捷运 🚇
捷運	捷運 🚇
掌印	掌印 🐾
掌声	掌声 👏
掌聲	掌聲 👏
接受	接受 🉑
接吻	接吻 💋 💏
接电话	接电话 📲
接電話	接電話 📲
提取行李	提取行李 🛄
提款机	提款机 🏧
提款機	提款機 🏧
提醒	提醒 🔔 ⏰
插头	插头 🔌
插頭	插頭 🔌
揮手	揮手 👋
揮拳	揮拳 👊
揮汗如雨	揮汗如雨 💦
搖桿	搖桿 🎮
搜寻	搜寻 🔍
搜尋	搜尋 🔍
搜索	搜索 🔍
摄像	摄像 📹
摄像机	摄像机 📹
摄影	摄影 📹
摄影机	摄影机 📹 🎥
摇杆	摇杆 🎮
摊开手	摊开手 👐
摩天輪	摩天輪 🎡
摩天轮	摩天轮 🎡
摩尔多瓦	摩尔多瓦 🇲🇩
摩洛哥	摩洛哥 🇲🇦
摩爾多瓦	摩爾多瓦 🇲🇩
摩羯座	摩羯座 ♑️
撇嘴	撇嘴 😕
撕开的日暦	撕开的日暦 📆
撕開的日暦	撕開的日暦 📆
撞球	撞球 🎱
播放一次	播放一次 🔂
撲克牌	撲克牌 🃏 🎴
擊掌	擊掌 ✋
擔心	擔心 😓
擔憂	擔憂 😔
擴音喇叭	擴音喇叭 📢
擴音器	擴音器 📢
攝像	攝像 📹
攝像機	攝像機 📹
攝影	攝影 📹
攝影機	攝影機 📹 🎥
攤開手	攤開手 👐
收件匣	收件匣 📨
收件箱	收件箱 📥
收件箱托盘	收件箱托盘 📥
收件箱托盤	收件箱托盤 📥
收信	收信 📪
收益	收益 🉐
收益報表	收益報表 📈
收益报表	收益报表 📈
收訊	收訊 📶
收讯	收讯 📶
收音机	收音机 📻
收音機	收音機 📻
放大鏡	放大鏡 🔎 🔍
放大镜	放大镜 🔎 🔍
放映	放映 🎥
放映室	放映室 🎦
放松	放松 😌
放鬆	放鬆 😌
救命	救命 🆘
救护车	救护车 🚑
救護車	救護車 🚑
教堂	教堂 ⛪️
数字	数字 🔢
敲打	敲打 🔨
數字	數字 🔢
文书	文书 📃
文件	文件 📄 📃
文件夹	文件夹 📂 📁
文件夾	文件夾 📂 📁
文書	文書 📃
文莱	文莱 🇧🇳
斐济	斐济 🇫🇯
斐濟	斐濟 🇫🇯
斯威士兰	斯威士兰 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛文尼亚	斯洛文尼亚 🇸🇮
斯洛維尼亞	斯洛維尼亞 🇸🇮
斯里兰卡	斯里兰卡 🇱🇰
斯里蘭卡	斯里蘭卡 🇱🇰
新	新 🆕
新加坡	新加坡 🇸🇬
新喀里多尼亚	新喀里多尼亚 🇳🇨
新喀里多尼亞群島	新喀里多尼亞群島 🇳🇨
新娘	新娘 👰
新干线	新干线 🚊
新幹線	新幹線 🚊
新建	新建 🆕
新月	新月 🌚 🌙 🌑
新聞	新聞 📰
新西兰	新西兰 🇳🇿
新闻	新闻 📰
方块	方块 ♦️
方塊	方塊 ♦️
方片	方片 ♦️
施工	施工 👷 🚧
旅行	旅行 ✈️
旅館	旅館 🏨
旅馆	旅馆 🏨
旋律	旋律 🎶
旋木	旋木 🎠
旋轉木馬	旋轉木馬 🎠
旋轉的心	旋轉的心 💞
旋轉的心形	旋轉的心形 💞
旋转木马	旋转木马 🎠
旋转的心	旋转的心 💞
旋转的心形	旋转的心形 💞
旗杆	旗杆 🚩
旗桿	旗桿 🚩
无	无 🈚️
无口	无口 😶
无尾熊	无尾熊 🐨
无烟区	无烟区 🚭
无能为力	无能为力 👐
无表情	无表情 😐
无视	无视 😾
无话可说	无话可说 😶
无语	无语 😶 😓
日元	日元 💴
日出	日出 🌅 🌄
日历	日历 📆 📅
日圆	日圆 💴
日圓	日圓 💴
日式人偶	日式人偶 🎎
日式服装	日式服装 👘
日式服裝	日式服裝 👘
日曆	日曆 📆 📅
日期	日期 📅
日本	日本 🇯🇵 🇯🇵
日本国旗	日本国旗 🇯🇵
日本國旗	日本國旗 🇯🇵
日本城堡	日本城堡 🏯
日本女儿节	日本女儿节 🎎
日本女兒節	日本女兒節 🎎
日本新年	日本新年 🎍
日本男儿节	日本男儿节 🎏
日本男兒節	日本男兒節 🎏
日本邮局	日本邮局 🏣
日本郵局	日本郵局 🏣
日章旗	日章旗 🇯🇵
日耳曼战车	日耳曼战车 🇩🇪
日耳曼戰車	日耳曼戰車 🇩🇪
时间	时间 🕛 🕚 🕙 🕘 🕗 🕖 🕕 🕔 🕓 🕒 🕑 🕐 ⌛️ ⌚️
星光	星光 🌟
星号	星号 ✳️
星夜	星夜 🌃
星座	星座 ⛎ ♓️ ♒️ ♑️ ♐️ ♏️ ♎️ ♍️ ♌️ ♋️ ♊️ ♉️ ♈️
星星	星星 ⭐️ 🌟 ✨
星星符号	星星符号 ✳️
星星符號	星星符號 ✳️
星月旗	星月旗 🇹🇷
星条旗	星条旗 🇺🇸
星條旗	星條旗 🇺🇸
星空	星空 🌃
星芒	星芒 🌟
星號	星號 ✳️
显微镜	显微镜 🔬
時間	時間 🕛 🕚 🕙 🕘 🕗 🕖 🕕 🕔 🕓 🕒 🕑 🕐 ⌛️ ⌚️
晕头转向	晕头转向 💫
晕眩	晕眩 💫
晚上	晚上 🌃
晴天	晴天 ☀️
晴朗	晴朗 ☀️
晴間多雲	晴間多雲 ⛅️
晴间多云	晴间多云 ⛅️
智利	智利 🇨🇱
智能机	智能机 📱
智能機	智能機 📱
暈眩	暈眩 💫
暈頭轉向	暈頭轉向 💫
暮色	暮色 🌆
曲奇	曲奇 🍪
書包	書包 🎒
書本	書本 📚 📖
書簽	書簽 📑 🔖
書簽標簽	書簽標簽 📑
書籍	書籍 📚
書籤	書籤 🔖
書籤標籤	書籤標籤 📑
月	月 🈷️
月亮	月亮 🌝 🌙 🌛
月份	月份 🈷️
有	有 🈶️
有來信	有來信 📬
有信寄出	有信寄出 📫
有来信	有来信 📬
有空位	有空位 🈳
有軌電車	有軌電車 🚎 🚃
有轨电车	有轨电车 🚎 🚃
朋友	朋友 👭 👬
服务员	服务员 💁
服務員	服務員 💁
服装	服装 👢 👡 👠 👟 👞 👝 👜 👛 👚 👓 🎩 👒 👑 👙 👘 👗 👖 👕 👔
服裝	服裝 👢 👡 👠 👟 👞 👝 👜 👛 👚 👓 🎩 👒 👑 👙 👘 👗 👖 👕 👔
望远镜	望远镜 🔭
望遠鏡	望遠鏡 🔭
朝鮮	朝鮮 🇰🇵
朝鲜	朝鲜 🇰🇵
木屋	木屋 🏡
未完成	未完成 ❎
未成年禁止	未成年禁止 🔞
末尾	末尾 🔚
机场	机场 ✈️
条幅星	条幅星 ❇️
来信	来信 📨
東加	東加 🇹🇴
東帝汶	東帝汶 🇹🇱
松树	松树 🌲
松樹	松樹 🌲
板栗	板栗 🌰
果汁	果汁 🍹
枪	枪 🔫
枪械	枪械 🔫
枫叶	枫叶 🍁
枫叶之国	枫叶之国 🇨🇦
枯叶	枯叶 🍂
枯葉	枯葉 🍂
柑橘	柑橘 🍊
柠檬	柠檬 🍋
查包	查包 🛃
查行李	查行李 🛄 🛃
查詢	查詢 🔍 📖
查證	查證 🛂
查证	查证 🛂
查询	查询 🔍 📖
柬埔寨	柬埔寨 🇰🇭
标志	标志 ➿ 💭 🅿️ 🅾️ 🆎 🅱️ 🅰️ ♦️ ♥️ ♣️ ♠️ ⚡️ ⚠️ ♿️ 🛅 🛄 🛃 🛂 🚸 📵 🚷 🚳 🚱 🚯 🚰 🚮 🚫 🚬 🔞 🚾 🚽 🚭 🚼 🚻 🚺 🚹 ⛔️ ✅
标靶	标靶 🎯
树	树 🌴 🌳 🌲
树袋熊	树袋熊 🐨
栗子	栗子 🌰
格子军	格子军 🇭🇷
格子旗	格子旗 🏁
格子軍	格子軍 🇭🇷
格林纳达	格林纳达 🇬🇩
格瑞那達	格瑞那達 🇬🇩
格鲁吉亚	格鲁吉亚 🇬🇪
桃子	桃子 🍑
桃心	桃心 ❤️ ♥️
桌球	桌球 🎱
桑巴舞者	桑巴舞者 🇧🇷
桔子	桔子 🍊
档案	档案 📄 📃
梅花	梅花 ♣️
條幅星	條幅星 ❇️
梨	梨 🍐
梨子	梨子 🍐
棒棒糖	棒棒糖 🍭
棒球	棒球 ⚾️
棕榈	棕榈 🌴
棕榈树	棕榈树 🌴
棕櫚	棕櫚 🌴
棕櫚樹	棕櫚樹 🌴
森巴舞者	森巴舞者 🇧🇷
椅子	椅子 💺
植物	植物 🎍 🌱 🌰 🍄 🍃 🍂 🍁 🍀 🌿 🌾 🌽 🌼 🌺 🌹 🌸 🌷 🌵 🌲 🌴 🌻 🌳
楓葉	楓葉 🍁
楓葉之國	楓葉之國 🇨🇦
業績上漲	業績上漲 📈
業績下滑	業績下滑 📉
楼房	楼房 🏠
槍	槍 🔫
槍械	槍械 🔫
樂譜	樂譜 🎼
樓房	樓房 🏠
標誌	標誌 ➿ 💭 🅿️ 🅾️ 🆎 🅱️ 🅰️ ♦️ ♥️ ♣️ ♠️ ⚡️ ⚠️ ♿️ 🛅 🛄 🛃 🛂 🚸 📵 🚷 🚳 🚱 🚯 🚰 🚮 🚫 🚬 🔞 🚾 🚽 🚭 🚼 🚻 🚺 🚹 ⛔️ ✅
標靶	標靶 🎯
樱桃	樱桃 🍒
樱花	樱花 🌸
樱花之国	樱花之国 🇯🇵
樹	樹 🌴 🌳 🌲
樹袋熊	樹袋熊 🐨
橄榄之国	橄榄之国 🇹🇳
橄榄球	橄榄球 🏉 🏈
橄欖之國	橄欖之國 🇹🇳
橄欖球	橄欖球 🏉 🏈
橘子	橘子 🍊
橘色书本	橘色书本 📙
橘色書本	橘色書本 📙
橙子	橙子 🍊
機場	機場 ✈️
檔案	檔案 📄 📃
檸檬	檸檬 🍋
櫻桃	櫻桃 🍒
櫻花	櫻花 🌸
櫻花之國	櫻花之國 🇯🇵
欧元	欧元 💶
欧洲城堡	欧洲城堡 🏰
欧洲邮局	欧洲邮局 🏤
欧洲非洲	欧洲非洲 🌍
歌記號	歌記號 〽️
歌謠開始記號	歌謠開始記號 〽️
歌记号	歌记号 〽️
歌谣开始记号	歌谣开始记号 〽️
歐元	歐元 💶
歐洲城堡	歐洲城堡 🏰
歐洲郵局	歐洲郵局 🏤
歐洲非洲	歐洲非洲 🌍
正中紅心	正中紅心 🎯
正中红心	正中红心 🎯
正确	正确 ⭕️ ✔️ 🙆 ✅
正確	正確 ⭕️ ✔️ 🙆 ✅
正装	正装 👔
正裝	正裝 👔
正面的小雞	正面的小雞 🐥
正面的小雞寶寶	正面的小雞寶寶 🐥
正面的小鸡	正面的小鸡 🐥
正面的小鸡宝宝	正面的小鸡宝宝 🐥
